,driver_id,trip_count,total_trip_duration,total_trip_distance,number of days
2947,28fbc7544b8707f19b289372baa5ab70bda867118409806ac6c684078eabb60d,5,16596.0,120.94000000000003,5
2948,290181a1d9e03cb2d105d810999f0c5de4e209f6d03bd45af09bcc4d225fe619,10,7125.0,30.759999999999994,4
2949,2902cfd60e116357d616d099f28129f30b0bc6c87b017d88b4c626f525af2048,113,136490.0,544.3199999999997,14
2950,290696f2bd72be5c1de0f7a331d62b194475442daefba243ba16bfcc2438ce46,11,12802.0,49.349999999999966,4
2951,2908d45b10aa6217ce8e6598c9abf44b16d3d761ac495c8742e2f4dcf089032b,37,50946.0,160.71999999999994,17
2952,290a0e576f58a464866ca81f6d67ba8e00e9023be7f0c5e5d377de39ce8f489d,9,6301.0,34.43999999999998,2
2953,290e6b388326eb49690010731455d06f6ae54750a02f8e821575cae8d95d99e9,3,9931.0,42.77999999999995,3
2954,290f48f3c91e71a5b3ffc6df963e673c3817a8236b58a4552fbe49f6c579f548,4,9816.0,28.839999999999964,3
2955,2913a5bac5a104ca7096618a6821475d89eca8a2515e60fcc578d97e09eaa541,2,1037.0,1.6300000000000006,6
2956,29140026c7eecae39e31c905d1d32f9ff5fc70b97285380f8a3066aee914ff8c,29,64035.0,227.79999999999984,11
2957,2914cc690c39e655cbef61e8f3357430e9c1a49fdb87d90c1257a20d9e723853,4,10247.0,25.549999999999972,2
2958,2915ceca6f3131e5ff12dc086cf92cde2318387e9f7967e6a4116d86bb28acc6,2,2482.0,5.279999999999997,10
2959,2918e9ff6b3069882450cdcb55c7faa31f62c921317669db4e9e2a8939616e41,10,14850.0,73.35999999999996,9
2960,29217270419ce69c6122633e5e203d166b9abad7f2c22da748c1d7b160b3d311,106,152707.0,567.3099999999996,15
2961,2926e428f9b4723625bfd2e9dad1117350c6ec24827a559913ccf5edf08a8789,17,50697.0,144.76999999999995,17
2962,29274435735b40ac903b8f636eea0b6b331d0510d8cad4bebb8943af80c67ff0,45,25631.0,35.99,11
2963,293186bd2c47432fa0f9c05707de48a2c6239d5de32238407cad4768ce2edd5d,2,1396.0,5.82,2
2964,2931fb7f1026db224307e7aad35a269c99d4325361fa0f92b51fcd5e8ff4640e,6,8698.0,36.01999999999998,2
2965,2932477145a8331137b2951aa8696d4ee26a2f3a0147b6b15b975d86beab895a,3,5379.0,16.899999999999988,2
2966,2932f1b2ed904e8160d990b82b123731c04219d53653a23d552922629f0353e2,11,8163.0,24.569999999999997,3
2967,29338bf7b6fc42e48492ba4b4c405f6096249ad5fefabc75a5ed882e53a42623,13,17833.0,82.44999999999995,5
2968,293c4123e9c35bcff1cf2916ea0ae2903bf6e0b59efb4764c0becd41c0b09bdd,3,7880.0,4.369999999999997,6
2969,293f28898512ab0fdf84bbec9fb61c6b19688b5e6bc494ed84a764b66615f9a1,13,10883.0,35.67999999999999,9
